	MCL1	Ceramide	sFas	Apoptosis	BID	S1P	Caspase	FLIP	IFNG	TCR	SMAD	P2	DISC	CREB	Fas	CTLA4	GPCR	IAP
E24_632	0.1005998582147005	0.0076001596841192	0.0029247421755312	2.280636329149795	0.0671055956657875	0.0314503895851154	0.0056289448527391	0.0474831791759281	0.0076606811648596	0.0632155488267737	0.018566100782524	0.0069818620798771	0.0144316061334307	0.0279219065724979	0.1939124034517482	0.0240799608784793	0.012913556061573	0.0076483341372646
E25_746	0.0316342085441446	0.0039219246478751	0.0028133849041487	2.184032512612207	0.000959738210283	0.0004836123343391	0.0031032426377879	0.0927847965529008	0.051786418226532	0.0376735226714512	0.0384941359897953	0.0074633254552788	0.0271934327190304	0.0001671666032598	0.0119677123456642	0.0362350392217467	0.0154008606814829	0.0167506412075249
E26_787	0.0387120229903029	0.0269633123164902	0.0406355458328903	2.595568128840201	0.0068375572116586	0.0255568138078855	0.0862251092982594	0.036961967601139	0.0334543845287701	0.0115561662931055	0.0028855935557074	0.0015351234667651	0.1459254284548969	0.0015801249550186	0.0026559551564153	0.053043470133339	0.0236812564697876	0.0078546000785669
E27_726	0.019635154602962	0.007201667349016	0.0091438627684905	2.323082432969126	0.0428420352367405	0.0013335009026313	0.0618199381202456	0.008327288202325	0.0196867804634432	0.0886779798952651	0.0016292431500953	0.003279725056663	0.0374981580021131	0.063426632447364	0.0897109210538757	0.1125104509958611	0.05782882210202	0.0400381969019615
E28_528	0.0011923634441087	0.0030697661539082	0.0056136499553402	1.7805062619539913	0.0024195052363392	0.0190428057267385	0.0006233178056023	0.0154879466805497	0.0233783410290356	0.0725960438452071	0.0462347476250684	0.0122082183351535	0.0006615025210961	0.1519533675690444	0.002908214135805	0.0588793612809149	0.0044707232088048	0.0076467487807939
E29_65	0.5337701517114867	0.1557075982394705	0.1775145484153788	1.1715446558011182	0.9748902390610168	0.4597005095767671	0.5583094024757798	0.1175848803430203	0.321767101041898	1.1837862517987303	0.0442589624004962	0.1507234941531658	0.5996106127960009	0.0205026363113203	0.6407537815353459	0.0844174086683717	0.1845418359328247	1.5676750926563658
E30_591	0.0059845554811803	0.0137156304518677	0.017778076383249	1.795516064329662	0.0004154554060694	0.0408657849689119	0.0164036863603532	0.0253760395294848	0.007705221060622	0.0454902460904985	0.0064986614011591	0.0088441208356235	0.0128055918753938	0.0085818440157169	0.0055484792576429	0.0041865991254628	0.0149318722965142	0.030797981648892
E31_334	0.0163973078272219	0.0345241917818142	0.0543994545335495	1.9857058123419025	0.0236960287116181	0.009711296460113	0.0256798356815605	0.0604000846097326	0.0059992954737619	0.0193414067247514	0.0192117658469798	0.0003681934500486	0.0008486063916584	0.0277586911543352	0.0186264994312896	0.0153227241116162	0.0249286479602707	0.0026564833823996
E32_767	0.0199588623165767	0.0030442065740309	0.0008725132480907	2.294093190735108	0.028511371771494	0.0763998471788407	0.0352479221300845	0.0320159505382367	0.0060910165227531	0.013458764131346	0.014074823701507	0.0193010261593037	0.0211292092995657	0.0478877026924186	0.0537643705664137	0.0137476290006465	0.0156833128364634	0.1266898580812815
E33_245	0.0018632560425687	0.0555010966815195	0.0098838224302375	2.034272743490221	0.0226274349094154	0.0803561058466866	0.0010111038981902	0.0241169434863356	0.0213789578691711	0.0226913389214283	0.0034951860206399	0.0039608037243945	0.0246058125749367	0.003304761462041	0.017643061430687	0.019335918059492	0.0146777377413144	0.004423473349113
E34_124	2.217243205084756	0.0288920307723146	2.32241297303022	0.0278915387854309	0.3615504671813207	1.8283626400005883	1.2142788517838343	2.378970134523163	0.0018693573414139	1.9913196154836128	1.7506655453718112	2.2323801911098315	0.0270612600741753	1.6598710707708395	0.0355991212016376	1.7176363507407368	2.2559359395947727	0.304900357802398
E35_119	0.0243990095484561	0.0141105113872668	0.0083464759560796	1.9177896153725056	0.0007706824240945	0.0002105015720546	0.0013389928380538	0.0013582659083826	0.0427696265556358	0.0016177484085801	0.0038657248040535	0.0041813429840671	0.0055303268380973	0.0191561640263696	0.0022409980438766	0.0119853216180552	0.0317642144595601	0.0032065053340184
E36_136	1.4027210644184391	0.1064735844822571	1.9768948902931025	0.364733728154498	0.5387833539835248	1.491454831522768	1.1740264613117088	1.7907468082390356	0.0243658993664982	0.348740118073279	1.7267694519603722	1.212859507039129	0.4052268692885309	0.005993394052754	1.3698664908823854	0.5862070632012459	2.0859919754847467	0.4348898096389431
E37_336	0.0046892802501667	0.0015821794684046	0.0111561470380629	1.4301277706181426	0.0070926447484203	0.0010986119700877	0.0022632836441901	0.0261239948549182	0.0032385693593377	0.0535320683088777	0.022207053249873	0.0076098421217351	0.0089225890224382	0.072020921063725	0.0106195568358557	0.1237815803703345	0.0390819016904079	0.0020965482434194
E38_189	1.7808714273787525	0.0061730587890516	1.8453398215714567	0.0010888749536401	0.1081303972925168	1.7395966252923802	0.0222755771872744	1.856178241287516	1.6403926671378055	1.5807647855891804	0.0470766437569644	1.1721030750856505	0.0232483337550462	1.3027577914192012	0.1771890193067977	1.5497933518899232	1.8576150114869303	1.7232261864097351
E39_577	0.0003649296087258	0.0327468898098999	0.0021625220645478	1.861016766915534	0.0175194436980388	0.0156313147044483	0.0178655605193205	0.0505844252306073	0.0120520827571407	0.0411633763351011	0.0642665600462639	0.0117636829198863	0.0100158365454999	0.0008150157727664	0.0007101686292505	0.0072323280705454	0.0007024453854326	0.0524481567024046
E40_106	0.0141253396147332	0.0356469914061946	0.0573418923350863	1.7562706769082004	0.0404674445082879	0.0291802583316546	0.0482354922249858	0.0360453833927243	0.0295176992655011	0.031653645354329	0.0005315808432902	0.015354354481079	0.0252905912175343	0.0323555090398911	0.0010370349224299	0.0379505865719161	0.0015788789137555	0.0049437434651074
E41_60	0.1961715648921684	0.3457498303498878	0.0744110946460087	1.4442602842094208	0.35056333001764	0.5401610078799912	0.4040406277202213	0.2375938968466154	0.49560242793382	0.2044268856267883	0.1273400283859926	0.005229447069651	0.5719540264812836	0.0211234618062033	0.5094521631901857	0.1079972962994737	0.1386081293090792	0.6822609197432465
